Date             AED       AUD       BGN       BRL       CAD       CHF       CNH       CZK       DKK       EUR       GBP       HKD       HUF       ILS       INR       JPY       KRW       MXN       NOK       NZD       PLN       RON       RUB       SAR       SEK       SGD       TRY       USD       ZAR
20240515       5.188     4.267     3.780    10.400     4.943     1.270    2.395*     5.083     3.479     3.870     5.172    3.807*     7.501     3.991     6.550    (0.07)    3.500*    11.024     4.351     5.495     5.797     5.677    16.100     5.785     3.488     3.681    33.167     5.330     7.964
20240516       5.220     4.322     3.780    10.400     4.903     1.263     1.448     5.077     3.490     3.892     5.205     3.637     7.491     3.998     6.550   (0.044)     3.500    11.076     4.346     5.547     5.795     5.743    15.900     5.789     3.539     3.603    42.697     5.330     7.996
20240517       5.203     4.383     3.780    10.400     4.866     1.320     1.842     5.098     3.527     3.912     5.229     3.778     7.497     4.159     6.780   (0.009)     3.500    11.104    4.346*     5.455     5.726     5.766    15.850    5.789*     3.556     3.503    37.158     5.330     8.103
20240520       5.216     4.447     3.780    10.400    4.866*    1.320*     1.545     5.091    3.527*     3.904     5.222     3.820    7.497*     4.407    6.780*   (0.162)     3.500    11.047    4.346*     5.522     5.740     5.725    15.850     5.723     3.562     3.599    37.952     5.330     8.299
20240521       5.170     4.269     3.780    10.400     4.882     1.328     2.371     5.112     3.477     3.904     5.194     4.019     7.496     4.094     6.830   (0.067)     3.500    11.187     4.382     5.429     5.764     5.773    15.850     5.790     3.538     3.670    39.208     5.330     8.315
20240522       5.166     4.248     3.780    10.400     4.859     1.359     2.217     5.124     3.492     3.911     5.158     4.146     7.027     4.191     6.850   (0.045)     3.500    11.224     4.380     5.431     5.725     5.757    15.850     5.878     3.560    3.670*    34.845     5.330     8.115
20240523       5.166     4.269     3.780    10.400     4.843     1.392     2.234     5.129     3.518     3.927     5.182     3.960     7.006     4.177    6.850*   (0.007)     3.500    11.136     4.449     5.335     5.704     5.724    15.850     5.924     3.573     3.642    30.841     5.330     8.114
20240524       5.187     4.195    3.780*    10.400     4.878     1.376     2.484     5.155     3.552     3.939     5.201     4.356     7.001     4.008     6.800   (0.031)     3.500    11.109     4.477     5.374     5.636     5.858    15.840    5.924*     3.581     3.670    30.236     5.330     8.153
20240527       5.187     4.195     3.790    10.400     4.878     1.376     2.484     5.155     3.552     3.939    5.201*     4.356     7.001     4.008     6.750   (0.031)     3.500    11.109     4.477     5.374     5.636     5.858    15.800     5.924     3.581     3.670    30.236    5.330*     8.153
20240528       5.140     4.202     3.790    10.400     4.880     1.339     2.533     5.134     3.536     3.912     5.165     4.218     7.028     4.040     6.550   (0.133)     3.500    11.099     4.430     5.394     5.650     5.923    15.890     5.646     3.558     3.653    28.171     5.330     8.186
20240529       5.137     4.178     3.790    10.400     4.888     1.268     1.668     5.138     3.557     3.931     5.210     4.255     6.989     3.959     6.550   (0.056)     3.500    11.100     4.479     5.320     5.783     5.868    15.860     5.300     3.573     3.653    24.801     5.330    8.186*
20240530       5.099     4.177     3.790   10.400*     4.877     1.232     0.971     5.121     3.513     3.908     5.184     4.065     6.962     3.875     6.550   (0.047)     3.500    11.112     4.432     5.357    5.783*     5.858    15.950     5.440     3.564     3.600    29.075     5.330     8.263
20240531       5.080     4.343     3.790    10.400     4.813     0.978     0.154     4.815     3.610     3.869     5.284     4.519     6.592     3.985     6.760   (0.041)     3.500    11.108     4.438     5.411     5.921     5.800    16.140    5.440*     3.653     3.603    35.585     5.330     8.305
